============================================================================================================================================
DETAILED LINE-BY-LINE COMPARISON REPORT
REST API vs WebSocket - Every Symbol with Timestamps and Exact Values
============================================================================================================================================
Report Generated: 2025-12-03 00:57:57.909

Total USDT Perpetual Futures: 534

============================================================================================================================================
REST API BATCH CALL TIMING
============================================================================================================================================
Request Time:  2025-12-03 00:57:58.091
Response Time: 2025-12-03 00:57:58.240
Latency:       148.97 ms
Symbols Retrieved: 534

============================================================================================================================================
WEBSOCKET STATE FILE TIMING
============================================================================================================================================
Request Time:  2025-12-03 00:57:58.247
Response Time: 2025-12-03 00:57:58.249
Read Latency:  1.48 ms
Symbols Tracked: 534

============================================================================================================================================
DETAILED COMPARISON - ALL SYMBOLS
============================================================================================================================================

SYMBOL          REST FUNDING    WS FUNDING      FUNDING DIFF    REST PRICE      WS PRICE        PRICE DIFF      STATUS    
GASUSDT         0.00005000      0.00005000      0.0000        % $2.1793         $2.1793         0.0000        % ✅ MATCH   
GHSTUSDT        0.00005000      0.00005000      0.0000        % $0.2140         $0.2140         0.0000        % ✅ MATCH   
GIGGLEUSDT      -0.00021588     None            N/A             92.7000         -1.52           N/A             ⚠️ NULL   
GLMUSDT         -0.00029987     None            N/A             0.2304          -0.00044        N/A             ⚠️ NULL   
GMTUSDT         0.00010000      0.00010000      0.0000        % $0.0172         $0.0172         0.0000        % ✅ MATCH   
GMXUSDT         0.00004737      0.00004737      0.0000        % $8.6415         $8.6415         0.0000        % ✅ MATCH   
GOATUSDT        0.00005000      0.00005000      0.0000        % $0.0406         $0.0406         0.0000        % ✅ MATCH   
GPSUSDT         -0.00000005     -0.00000005     0.0000        % $0.0062         $0.0062         0.0000        % ✅ MATCH   
GRASSUSDT       -0.00007091     None            N/A             0.3132          0.0054          N/A             ⚠️ NULL   
GRIFFAINUSDT    0.00005000      None            N/A             0.0199          -0.0023         N/A             ⚠️ NULL   
GRTUSDT         0.00010000      0.00010000      0.0000        % $0.0491         $0.0491         0.0000        % ✅ MATCH   
GTCUSDT         -0.00071376     -0.00071376     0.0000        % $0.1430         $0.1430         0.0000        % ✅ MATCH   
GUNUSDT         0.00005000      0.00005000      0.0000        % $0.0123         $0.0123         0.0000        % ✅ MATCH   
GUSDT           -0.00000798     -0.00000798     0.0000        % $0.0051         $0.0051         0.0000        % ✅ MATCH   
HAEDALUSDT      0.00005000      0.00005000      0.0000        % $0.0545         $0.0545         0.0000        % ✅ MATCH   
HANAUSDT        0.00001250      0.00001250      0.0000        % $0.0131         $0.0131         0.0000        % ✅ MATCH   
HBARUSDT        0.00010000      0.00010000      0.0000        % $0.1440         $0.1440         0.0139        % ✅ MATCH   
HEIUSDT         0.00005000      0.00005000      0.0000        % $0.2243         $0.2243         0.0096        % ✅ MATCH   
HEMIUSDT        0.00001702      0.00001702      0.0000        % $0.0145         $0.0145         0.0000        % ✅ MATCH   
HFTUSDT         -0.00098747     -0.00098747     0.0000        % $0.0329         $0.0329         0.0000        % ✅ MATCH   
